STATE,MONTH_NAME,TOR_F_SCALE,TOR_WIDTH,TOR_LENGTH,DEATHS_DIRECT,CZ_NAME
Pennsylvania,April,EF0,75.0,0.15,0,WESTMORELAND
Pennsylvania,April,EF1,250.0,2.82,0,ALLEGHENY
Texas,March,EFU,50.0,3.55,0,CARSON
Texas,March,EF0,20.0,0.21,0,SHERMAN
Louisiana,April,EF3,300.0,8.01,0,OUACHITA
Tennessee,April,EF1,100.0,2.25,0,WILSON
Alabama,April,EF0,100.0,0.37,0,BLOUNT
Alabama,April,EF1,1000.0,2.69,0,MARENGO
Colorado,August,EF0,50.0,0.01,0,WASHINGTON
Colorado,August,EF0,50.0,0.01,0,WASHINGTON
Texas,January,EF0,75.0,0.4,0,WISE
Missouri,January,EF1,45.0,0.2,0,BOLLINGER
Kentucky,January,EF1,200.0,2.98,0,CHRISTIAN
Kentucky,January,EF0,175.0,4.41,0,CALDWELL
Alabama,April,EF1,100.0,8.9,0,MOBILE
Alabama,April,EF1,300.0,0.47,0,BALDWIN
Texas,January,EF0,100.0,0.14,0,DELTA
Texas,January,EF1,250.0,1.05,0,JOHNSON
Florida,January,EF0,175.0,2.38,0,LAKE
Missouri,January,EF2,300.0,9.13,0,CAPE GIRARDEAU
Kentucky,January,EF1,175.0,3.08,0,CHRISTIAN
Kentucky,January,EF1,250.0,7.18,0,CALDWELL
Minnesota,August,EF0,30.0,0.1,0,NORMAN
Missouri,January,EF1,50.0,0.45,0,CEDAR
Missouri,January,EF1,50.0,8.25,0,POLK
South Carolina,January,EF0,50.0,0.27,0,ANDERSON
Texas,January,EF0,150.0,0.45,0,DELTA
Texas,January,EF0,175.0,1.1,0,DALLAS
Florida,January,EF1,265.0,4.39,0,VOLUSIA
Kentucky,January,EF1,250.0,2.84,0,CHRISTIAN
Nebraska,July,EF2,250.0,3.4,0,DAWES
Mississippi,March,EF1,400.0,8.72,0,TISHOMINGO
Missouri,January,EF1,100.0,1.57,0,HICKORY
Arkansas,March,EF3,600.0,12.53,0,CRAIGHEAD
Texas,January,EF0,10.0,1.74,0,MCLENNAN
Louisiana,April,EF1,500.0,2.0,0,GRANT
